ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
HSIC,2000,33
HSII,1091,9
HSKA,635,22
HSON,1257,0
HSTM,1813,0
HSY,2001,31
HTHT,0,0
HTLD,13,5
HUBG,1976,33
HUM,2003,27
HUN,2003,33
HURC,0,0
HURN,2003,30
HUSA,108,0
HVT,1973,19
HWKN,1620,25
HXL,2010,33
HY,1738,33
HZNP,1997,30
HZO,1917,8
IAG,1405,2
IART,1999,32
IBA,0,1
SCOR,1748,22
SCS,1963,0
SCSC,1672,32
SCVL,236,0
SCX,1974,30
SCYX,1429,13
SDPI,1992,33
SEAC,55,0
SEAS,1649,33
SEB,1607,24
SEE,1369,26
SEED,1993,0
SEM,1997,33
SENEA,1998,33
SFL,1978,0
SFM,1997,33
SGA,1202,11
SGC,2008,33
SGEN,0,0
SGMA,1976,0
SGMO,323,0
SGU,2001,28
SHEN,2001,17
SHI,0,0
SHIP,1758,4
SHOO,240,0
SHW,2007,29
SID,0,0
SIF,1916,33
SIFY,0,0
SIG,1781,0
SIGA,987,2
SILC,0,0
SIM,0,0
SIMO,0,0
SIRI,449,32
SIX,442,28
SJI,1998,30
SJM,1986,0
SJR,0,0
SJT,0,0
SJW,1998,33
SKM,0,0
SKX,603,33
SKY,1170,10
SKYW,1996,33
SLAB,1702,25
SLB,2008,31
SLCA,2003,33
SLGN,1996,33
SLP,0,0
SM,2003,30
SMCI,1281,19
SMED,650,0
SMG,1997,30
SMLP,1996,33
SMSI,855,3
SMTC,1980,0
SNA,2012,16
SNCR,1672,16
SNDA,1485,32
SNN,0,0
SNPS,464,0
SNX,1956,0
SNY,0,0
SO,1997,33
SOFO,1373,33
SOHU,1803,5
SOL,0,0
SON,2004,33
SP,1997,31
SPB,1996,26
SPCB,0,0
SPH,1997,28
SPLK,878,0
SPNS,0,0
SPOK,0,0
SPPI,1326,1
SPR,2001,33
SPSC,0,0
SPTN,1992,33
SPWH,1227,0
SPWR,1671,33
SPXC,2003,31
SQM,0,0
SQNS,0,0
SR,1997,28
SRCL,1997,33
SRDX,3,0
SRE,1997,33
SREV,1999,0
SRI,1995,33
SRLP,1829,0
SRNE,1469,24
SRPT,1385,20
SRT,1852,30
SSD,184,1
SSL,0,0
SSNC,1998,33
SSP,1996,33
SSTK,0,0
SSYS,0,0
ST,2004,33
STAA,970,33
STE,1996,23
STKL,1993,33
STKS,1992,31
STLD,1996,33
STM,0,0
STN,0,0
STNG,2005,6
STON,1177,0
STRA,1735,6
STRL,1808,29
STRM,1698,0
STX,1996,30
STZ,1954,0
SU,0,0
SUN,1996,32
SUPN,1412,6
SWIR,0,0
SWK,2002,19
SWKS,232,5
SWN,1810,29
SWX,1998,33
SXC,2004,33
SXI,1982,26
SXT,1998,33
SYK,2007,33
SYNA,1872,22
SYPR,1999,31
SYY,1984,33
T,2001,33
TA,1960,29
TAC,0,0
TACT,150,3
TAP,1998,27
TARO,0,0
TAST,1998,33
TATT,0,0
TAYD,0,0
TBI,1270,19
TBPH,433,10
TCS,1955,24
TCX,1935,19
TDC,1996,33
TDG,0,31
TDS,2001,31
TDW,1932,16
TDY,2002,30
TECH,1888,13
TEDU,0,0
TEF,0,0
TEL,2007,31
TENX,203,0
TEO,0,0
TER,1138,7
TESS,1014,18
TEVA,1052,17
TEX,2007,33
TFX,2003,31
TG,1852,33
TGA,0,0
TGB,0,0
TGH,1998,10
TGI,1016,33
TGNA,2003,33
TGS,0,0
TGT,1986,0
TGTX,412,7
THC,2000,33
THM,0,0
THO,1031,0
THR,1997,33
THS,1997,33
TILE,1997,33
TISI,1956,26
TITN,1978,0
TJX,1984,0
TK,1980,9
TKC,0,0
TKR,1995,33
TLF,1468,24
TLK,0,0
TLYS,228,0
TMHC,1999,33
TMO,2001,33
TMQ,0,0
TMST,1710,26
TMUS,2002,32
TNC,1710,33
TNDM,1713,10
TNET,1582,31
TNK,1977,7
TNP,1966,7
TNXP,0,0
TOL,1980,0
TOPS,1983,3
TOUR,0,0
TPC,1999,33
TPH,1997,30
TPL,0,0
TPX,1851,33
TR,0,12
TREX,986,0
TRGP,2001,33
TRI,2001,4
TRIB,0,0
TRIP,1341,26
TRMB,1996,31
TRN,2003,33
TRNS,1995,33
TROX,1997,32
TRP,0,0
TRQ,0,0
TRS,2002,31
TRTN,2003,31
TRUE,629,3
TRVN,1501,19
TRX,0,0
TS,0,0
TSCO,1704,33
TSE,1995,30
TSEM,1994,1
TSM,0,0
TSN,1997,32
TSRI,90,0
TTC,1981,0
TTEC,1995,30
TTEK,2000,33
TTGT,1423,20
TTI,1995,33
TTMI,1999,28
TTWO,824,1
TU,0,0
TUP,900,33
TV,0,0
TWI,2007,33
TWIN,1292,33
TWOU,737,16
TWTR,1933,0
TX,0,0
TXMD,377,5
TXN,2002,29
TXRH,635,26
TXT,2008,33
TYL,449,13
TZOO,1543,1
UAL,2007,33
UAMY,1184,29
UAN,2001,8
UCTT,2000,31
UEC,1675,0
UEIC,1637,23
UFI,1974,33
UFPI,1745,13
UFPT,497,25
UG,0,0
UGI,1997,33
UGP,0,0
UHAL,1998,32
UHS,1996,33
UIS,0,30
UL,0,0
ULBI,360,5
ULTA,533,0
UMC,0,0
UNF,0,0
UNFI,1962,0
UNH,2000,33
UNP,2006,33
UPS,1998,33
URBN,350,0
URG,2001,13
URI,2013,33
USAC,1934,28
USAK,1994,0
USAP,2002,33
USEG,1036,5
USLM,749,2
USM,2001,29
USNA,127,0
USPH,1809,33
UTHR,1289,0
UTI,1832,21
UTL,2008,32
UTMD,75,3
UTSI,0,0
UUUU,995,13
UVV,1997,9
V,1626,16
VAC,2007,33
VALE,0,0
VBIV,995,6
VCEL,1504,10
VCYT,1099,19
VECO,1305,19
VEEV,0,0
VET,0,0
VFC,1999,27
VG,2002,0
VGR,66,33
VGZ,0,1
VHC,0,0
VHI,1996,33
VICR,0,0
VIPS,0,0
VIV,0,0
VIVO,1489,15
VJET,0,0
VLGEA,1812,0
VLO,1997,33
VLRS,0,0
VMC,1998,23
VMI,2003,33
VMW,1929,0
VNCE,1819,0
VNDA,0,0
VNET,0,0
VNOM,1313,27
VNRX,1007,13
VOC,0,0
VOD,0,0
VOXX,759,0
VPG,1817,31
VRA,705,0
VRNS,481,3
VRNT,1981,0
VRSK,2004,11
VRSN,0,12
VRTX,1331,32
VSAT,1993,32
VSEC,2001,19
VSH,2004,30
VSTM,959,13
VTNR,1935,16
VUZI,199,7
VVI,1847,33
VZ,2004,33
WAB,2002,33
WAT,1749,33
WATT,0,0
WB,0,0
WBA,1947,0
WCC,1926,32
WCN,1494,20
WDAY,1983,0
WDC,1991,33
WDFC,1946,0
WEC,2001,33
WEN,1997,33
WERN,1118,26
WES,1998,32
WEX,2003,33
WEYS,404,0
WGO,1391,0
WHR,2008,27
WILC,0,0
WINA,347,29
WIRE,0,0
WIT,0,0
WIX,0,0
WLDN,1282,33
WLFC,1995,19
WLK,1998,18
WLL,1739,0
WM,2004,33
WMB,2002,33
WMK,1,7
WMT,1980,0
WNS,0,0
WOLF,1125,30
WOR,1954,0
WPP,0,0
WRN,0,0
WSM,1474,0
WSO,1284,33
WST,1984,28
WTI,251,31
WTS,1998,32
WTT,844,21
WU,1384,28
WVVI,1848,32
WWD,2009,29
WWE,1818,33
WWW,2009,31
WY,2000,26
WYNN,1304,33
WYY,352,19
X,2003,30
XEL,2001,29
XNCR,0,0
XNET,0,0
XOM,1998,28
XOMA,1216,27
XPL,2003,0
XPO,1953,33
XRAY,2002,32
XRX,2001,33
XXII,74,2
XYL,2004,10
YELP,0,0
YNDX,1604,9
YORW,1998,33
YPF,0,0
YUM,502,33
YY,0,0
ZBH,1997,33
ZBRA,1846,31
ZEN,1051,0
ZEUS,1997,26
ZG,1451,12
ZNGA,735,0
ZNH,1811,1
ZTS,1994,15
ZUMZ,0,0
