ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
ORLY,1771,31
ORMP,0,0
ORN,2001,31
OSIS,1626,33
OSTK,641,23
OSUR,0,2
OTEX,2002,33
CRS,1984,17
CRT,0,0
CRTO,102,12
CRUS,568,10
CRVL,0,0
CRWS,305,10
CSCO,1978,0
CSGP,2006,19
CSGS,1997,33
CSII,915,2
CSIQ,1737,4
CSL,2009,13
CSPI,167,12
CSTE,0,0
CSTM,0,0
CSV,1999,33
CSX,2014,29
CTAS,1953,0
CTG,499,19
CTHR,0,1
CTIC,1583,20
CTRN,482,0
CTS,1882,29
CTSH,640,31
CTT,1992,0
CTXS,1874,0
CUK,1329,0
CUTR,377,9
CVCO,1204,31
CVE,1866,0
CVEO,1993,31
CVGW,1341,0
CVI,2001,20
CVLT,0,0
CVM,1228,29
CVR,0,0
CVS,1999,27
CVT,81,2
CVU,1175,33
CVV,1385,28
CVX,1998,33
CW,2002,22
CWCO,0,8
CWST,800,30
CWT,2002,33
CX,0,0
CYAN,1992,33
CYBE,0,0
CYCC,0,0
CYH,903,33
CYRN,1294,4
CYTK,1287,14
D,2003,33
DAC,2003,7
DAIO,0,0
DAKT,162,0
DAL,2007,33
DAR,1997,33
DBD,1155,33
DCI,1965,0
DCO,2005,33
DCTH,698,5
DDD,329,24
DDS,1981,0
DE,1985,0
DECK,463,25
DENN,261,33
DEO,0,0
DG,1985,0
DGII,412,11
DGLY,806,14
DGX,2002,33
DHI,2007,33
DHR,2012,26
DHT,1982,7
DHX,1630,31
DIN,831,33
DIOD,1884,33
DIS,1999,32
DISCK,2002,0
DISH,1998,33
DIT,2011,33
DJCO,1978,24
DK,1997,33
DKL,188,33
DKS,1469,0
DLA,1998,33
DLB,0,0
DLNG,0,0
DLTR,1990,0
DLX,2001,32
DMLP,0,0
DMRC,132,3
DNN,0,3
DNOW,580,19
DOOR,1997,31
DOV,2012,13
DOX,0,0
DPZ,0,33
DQ,0,0
DRD,0,0
DRI,1958,0
DRQ,0,0
DRRX,1935,31
DSGX,784,0
DSS,1661,30
DSWL,0,0
DSX,2002,2
DTE,2006,32
DUK,1997,33
DVA,2001,33
DVAX,1641,12
DVN,1998,24
DWSN,405,28
DXCM,1308,13
DXLG,1885,0
DXPE,1997,32
DXYN,1998,33
DY,1922,0
DZSI,1574,16
E,0,0
EA,1972,2
EAT,173,33
EBAY,2011,27
EBF,1503,0
EBIX,1887,33
EBR,0,0
EBS,1743,21
EC,0,0
ECL,1997,29
ECOL,1995,0
ECOM,0,0
ED,1997,32
